Source,Target,Start,start,end
Drawings and Prints,392454,1971,1971,1971
Egyptian Art,625920,1930,1930,1930
Drawings and Prints,623813,1941,1941,1941
Drawings and Prints,839255,1975,1975,1975
Asian Art,125397,1961,1961,1961
Drawings and Prints,418877,1963,1963,1963
Drawings and Prints,680103,1918,1918,1918
Asian Art,60541,1912,1912,1912
Drawings and Prints,654454,1947,1947,1947
The American Wing,9152,1946,1946,1946
Greek and Roman Art,256802,nan,nan,nan
Drawings and Prints,659545,1918,1918,1918
Medieval Art,479134,1908,1908,1908
Asian Art,66794,1896,1896,1896
Drawings and Prints,627468,1953,1953,1953
Drawings and Prints,381681,1921,1921,1921
Greek and Roman Art,683364,2011,2011,2011
Islamic Art,453043,1981,1981,1981
Drawings and Prints,351428,2001,2001,2001
Medieval Art,479348,1925,1925,1925
Drawings and Prints,778580,1962,1962,1962
Arms and Armor,33840,1914,1914,1914
Drawings and Prints,351737,1931,1931,1931
Egyptian Art,558350,1966,1966,1966
The American Wing,7497,1918,1918,1918
Drawings and Prints,826411,1963,1963,1963
Photographs,291525,2005,2005,2005
Costume Institute,82649,2001,2001,2001
Costume Institute,83909,1990,1990,1990
Drawings and Prints,389744,1954,1954,1954
Costume Institute,156961,2009,2009,2009
Photographs,269750,1954,1954,1954
Drawings and Prints,892399,1963,1963,1963
European Sculpture and Decorative Arts,227594,1952,1952,1952
Greek and Roman Art,256059,1991,1991,1991
Drawings and Prints,411836,1951,1951,1951
Greek and Roman Art,683611,2011,2011,2011
Arms and Armor,34468,1929,1929,1929
Drawings and Prints,335216,1960,1960,1960
The American Wing,7643,1960,1960,1960
European Sculpture and Decorative Arts,211534,2003,2003,2003
Greek and Roman Art,251968,1926,1926,1926
Robert Lehman Collection,459639,1975,1975,1975
Drawings and Prints,753533,2021,2021,2021
Drawings and Prints,361552,1926,1926,1926
Drawings and Prints,427103,2013,2013,2013
Costume Institute,158174,2009,2009,2009
Drawings and Prints,656411,1963,1963,1963
Drawings and Prints,371484,1963,1963,1963
Asian Art,48562,1879,1879,1879
Drawings and Prints,344450,1941,1941,1941
Arms and Armor,24877,1978,1978,1978
Greek and Roman Art,718864,2011,2011,2011
Drawings and Prints,647616,1963,1963,1963
The American Wing,717554,2017,2017,2017
Photographs,265132,1987,1987,1987
Musical Instruments,502500,1889,1889,1889
Drawings and Prints,784593,1963,1963,1963
Modern and Contemporary Art,486387,1994,1994,1994
Asian Art,63535,1975,1975,1975
Egyptian Art,548082,1923,1923,1923
Egyptian Art,559687,1926,1926,1926
Islamic Art,769084,1948,1948,1948
The American Wing,11408,1908,1908,1908
Egyptian Art,569945,1921,1921,1921
Asian Art,36752,1918,1918,1918
Photographs,680010,2005,2005,2005
Drawings and Prints,381539,1974,1974,1974
Drawings and Prints,641193,1924,1924,1924
Drawings and Prints,429864,1950,1950,1950
Musical Instruments,504893,1889,1889,1889
Drawings and Prints,428955,1926,1926,1926
Greek and Roman Art,330044,2021,2021,2021
Asian Art,55150,1921,1921,1921
Costume Institute,92160,1977,1977,1977
Drawings and Prints,346076,1964,1964,1964
Drawings and Prints,390716,1943,1943,1943
Modern and Contemporary Art,496883,1979,1979,1979
Drawings and Prints,390656,1920,1920,1920
Drawings and Prints,420648,1963,1963,1963
European Sculpture and Decorative Arts,215131,1908,1908,1908
Asian Art,68535,1930,1930,1930
The American Wing,18237,1997,1997,1997
Musical Instruments,502576,1889,1889,1889
Costume Institute,108548,1979,1979,1979
Drawings and Prints,734687,2016,2016,2016
Asian Art,49545,2015,2015,2015
Greek and Roman Art,254718,1952,1952,1952
Drawings and Prints,347022,1963,1963,1963
Drawings and Prints,338429,1880,1880,1880
Drawings and Prints,650653,1963,1963,1963
Costume Institute,106826,1951,1951,1951
Drawings and Prints,659115,1935,1935,1935
Asian Art,37752,2000,2000,2000
Medieval Art,466038,1977,1977,1977
Drawings and Prints,360504,1949,1949,1949
Drawings and Prints,351050,1955,1955,1955
Drawings and Prints,709379,1963,1963,1963
The American Wing,1486,1933,1933,1933
Drawings and Prints,377129,1917,1917,1917
Drawings and Prints,344296,1954,1954,1954
Drawings and Prints,363001,1984,1984,1984
Egyptian Art,568839,1938,1938,1938
Greek and Roman Art,740008,2011,2011,2011
Drawings and Prints,735108,1933,1933,1933
Photographs,261096,1974,1974,1974
Drawings and Prints,684441,1963,1963,1963
"Arts of Africa, Oceania, and the Americas",313657,1979,1979,1979
European Sculpture and Decorative Arts,225993,1936,1936,1936
European Sculpture and Decorative Arts,219996,1919,1919,1919
Greek and Roman Art,669514,2011,2011,2011
Musical Instruments,506063,2015,2015,2015
Medieval Art,467758,1941,1941,1941
Islamic Art,457113,1939,1939,1939
Egyptian Art,557903,nan,nan,nan
Greek and Roman Art,759981,2011,2011,2011
Drawings and Prints,377544,1985,1985,1985
Drawings and Prints,357614,1952,1952,1952
Medieval Art,467495,1932,1932,1932
Modern and Contemporary Art,484891,1987,1987,1987
Drawings and Prints,373426,1963,1963,1963
Asian Art,72907,2005,2005,2005
Drawings and Prints,831194,1951,1951,1951
Islamic Art,447836,1926,1926,1926
Egyptian Art,551182,1930,1930,1930
European Sculpture and Decorative Arts,219466,1913,1913,1913
Drawings and Prints,660699,1963,1963,1963
Asian Art,51539,1923,1923,1923
Greek and Roman Art,251462,1924,1924,1924
Drawings and Prints,892209,1978,1978,1978
Drawings and Prints,431258,1943,1943,1943
Asian Art,60201,1910,1910,1910
Egyptian Art,564405,1917,1917,1917
Costume Institute,127616,1951,1951,1951
European Sculpture and Decorative Arts,204798,1967,1967,1967
Egyptian Art,563391,1917,1917,1917
Drawings and Prints,430725,1917,1917,1917
Photographs,287916,1999,1999,1999
Modern and Contemporary Art,492151,1979,1979,1979
Drawings and Prints,676593,2014,2014,2014
Drawings and Prints,828685,1919,1919,1919
Asian Art,60041,1910,1910,1910
Drawings and Prints,761309,1963,1963,1963
Photographs,265333,1987,1987,1987
Costume Institute,156700,2009,2009,2009
"Arts of Africa, Oceania, and the Americas",315933,1988,1988,1988
Drawings and Prints,375058,1943,1943,1943
The American Wing,12601,1943,1943,1943
Asian Art,40557,1912,1912,1912
Islamic Art,769048,1948,1948,1948
Egyptian Art,555176,1926,1926,1926
Drawings and Prints,822844,1948,1948,1948
Drawings and Prints,339986,1880,1880,1880
Drawings and Prints,389184,1966,1966,1966
Drawings and Prints,340555,1919,1919,1919
European Sculpture and Decorative Arts,223453,1936,1936,1936
Islamic Art,444395,1890,1890,1890
"Arts of Africa, Oceania, and the Americas",314163,1980,1980,1980
Asian Art,41284,1914,1914,1914
Islamic Art,444401,1890,1890,1890
Drawings and Prints,755271,1963,1963,1963
Greek and Roman Art,240819,1874,1874,1874
Drawings and Prints,648174,1963,1963,1963
European Sculpture and Decorative Arts,229434,1974,1974,1974
Modern and Contemporary Art,481988,1979,1979,1979
Photographs,281791,1994,1994,1994
Greek and Roman Art,249476,1917,1917,1917
Asian Art,44805,1954,1954,1954
European Sculpture and Decorative Arts,206998,1982,1982,1982
Egyptian Art,548918,1927,1927,1927
"Arts of Africa, Oceania, and the Americas",311998,1978,1978,1978
Arms and Armor,33683,1914,1914,1914
European Sculpture and Decorative Arts,224676,1936,1936,1936
Asian Art,36057,1947,1947,1947
Egyptian Art,553578,1910,1910,1910
Islamic Art,446800,1915,1915,1915
Costume Institute,164157,2011,2011,2011
Egyptian Art,549191,2016,2016,2016
Drawings and Prints,395493,1919,1919,1919
Costume Institute,156241,2009,2009,2009
Drawings and Prints,422402,1957,1957,1957
Greek and Roman Art,241083,1874,1874,1874
Ancient Near Eastern Art,324597,1957,1957,1957
Drawings and Prints,395283,1938,1938,1938
Drawings and Prints,825493,2019,2019,2019
Costume Institute,113098,1938,1938,1938
Egyptian Art,557204,1911,1911,1911
Drawings and Prints,424576,1963,1963,1963
Photographs,271659,nan,nan,nan
Drawings and Prints,389270,nan,nan,nan
Drawings and Prints,779584,1963,1963,1963
Drawings and Prints,774492,1942,1942,1942
Drawings and Prints,396364,1985,1985,1985
Costume Institute,159487,2009,2009,2009
Drawings and Prints,420318,1963,1963,1963
European Paintings,788905,2018,2018,2018
Drawings and Prints,818281,1963,1963,1963
The American Wing,13056,1993,1993,1993
Drawings and Prints,777398,2011,2011,2011
Modern and Contemporary Art,493316,2003,2003,2003
Costume Institute,158256,2009,2009,2009
Drawings and Prints,414372,1963,1963,1963
Asian Art,49117,1917,1917,1917
Drawings and Prints,417989,1963,1963,1963
Drawings and Prints,349499,1959,1959,1959
Asian Art,37000,1918,1918,1918
Drawings and Prints,777041,2011,2011,2011
Modern and Contemporary Art,486674,1995,1995,1995
Modern and Contemporary Art,747297,2017,2017,2017
Photographs,283820,1965,1965,1965
Photographs,694848,2004,2004,2004
The American Wing,13121,1920,1920,1920
Islamic Art,454611,2003,2003,2003
European Sculpture and Decorative Arts,224986,1936,1936,1936
Drawings and Prints,386146,1951,1951,1951
Drawings and Prints,633272,1922,1922,1922
Modern and Contemporary Art,485915,1991,1991,1991
Egyptian Art,568876,1922,1922,1922
Drawings and Prints,765111,1953,1953,1953
Egyptian Art,556361,1917,1917,1917
Egyptian Art,564210,1917,1917,1917
Greek and Roman Art,245309,1881,1881,1881
European Sculpture and Decorative Arts,200553,1949,1949,1949
Drawings and Prints,830030,1962,1962,1962
Drawings and Prints,725381,1919,1919,1919
Drawings and Prints,644920,1963,1963,1963
Drawings and Prints,382439,1948,1948,1948
Greek and Roman Art,242655,1874,1874,1874
Musical Instruments,505259,1946,1946,1946
Musical Instruments,503011,1934,1934,1934
Greek and Roman Art,241051,1874,1874,1874
Drawings and Prints,395093,2010,2010,2010
Asian Art,85273,1987,1987,1987
Modern and Contemporary Art,488222,1947,1947,1947
Drawings and Prints,406654,1952,1952,1952
Drawings and Prints,841643,1951,1951,1951
Photographs,780545,1963,1963,1963
European Sculpture and Decorative Arts,207932,1990,1990,1990
European Sculpture and Decorative Arts,227647,1953,1953,1953
Drawings and Prints,412436,1963,1963,1963
Costume Institute,109748,1974,1974,1974
Photographs,842180,2020,2020,2020
The American Wing,751515,2018,2018,2018
Drawings and Prints,387236,1953,1953,1953
Drawings and Prints,409975,1963,1963,1963
Drawings and Prints,746504,1955,1955,1955
Photographs,765036,1947,1947,1947
Islamic Art,451876,1966,1966,1966
Asian Art,670916,2015,2015,2015
Egyptian Art,569106,1909,1909,1909
Arms and Armor,28136,1943,1943,1943
Drawings and Prints,400777,1963,1963,1963
The American Wing,9138,1946,1946,1946
European Sculpture and Decorative Arts,228428,1957,1957,1957
Costume Institute,169404,2009,2009,2009
Greek and Roman Art,745441,2011,2011,2011
Drawings and Prints,631259,1963,1963,1963
Greek and Roman Art,244419,1874,1874,1874
The Cloisters,470311,1947,1947,1947
Greek and Roman Art,766115,2011,2011,2011
Egyptian Art,562276,1920,1920,1920
Drawings and Prints,888859,1966,1966,1966
Costume Institute,155772,2009,2009,2009
Photographs,294766,2010,2010,2010
Asian Art,42252,1914,1914,1914
Medieval Art,465049,1917,1917,1917
Drawings and Prints,752426,1923,1923,1923
Drawings and Prints,407531,1963,1963,1963
Drawings and Prints,722871,1963,1963,1963
Drawings and Prints,422449,1957,1957,1957
Asian Art,56614,1949,1949,1949
Arms and Armor,31522,1936,1936,1936
The American Wing,635399,2014,2014,2014
Asian Art,42353,1985,1985,1985
"Arts of Africa, Oceania, and the Americas",312111,1978,1978,1978
Egyptian Art,570351,1926,1926,1926
European Sculpture and Decorative Arts,216117,1909,1909,1909
Drawings and Prints,412438,1963,1963,1963
Medieval Art,467260,1930,1930,1930
Drawings and Prints,688648,1985,1985,1985
Egyptian Art,569582,1930,1930,1930
Asian Art,55090,1929,1929,1929
European Sculpture and Decorative Arts,205721,1974,1974,1974
Egyptian Art,552613,1936,1936,1936
Drawings and Prints,366852,1962,1962,1962
Costume Institute,92272,1979,1979,1979
Asian Art,38465,1918,1918,1918
Islamic Art,740711,1948,1948,1948
Drawings and Prints,393610,2010,2010,2010
The American Wing,718155,2020,2020,2020
Drawings and Prints,653932,1963,1963,1963
Drawings and Prints,719723,1963,1963,1963
Modern and Contemporary Art,489351,1964,1964,1964
Greek and Roman Art,718820,2011,2011,2011
Drawings and Prints,707255,1917,1917,1917
Asian Art,64279,2001,2001,2001
Drawings and Prints,785100,1963,1963,1963
Costume Institute,173521,2009,2009,2009
Islamic Art,446891,1917,1917,1917
Costume Institute,96155,1983,1983,1983
Drawings and Prints,704491,1951,1951,1951
Photographs,268061,1933,1933,1933
Photographs,264710,1986,1986,1986
European Sculpture and Decorative Arts,209368,1982,1982,1982
Drawings and Prints,655031,1963,1963,1963
Asian Art,42706,1939,1939,1939
Asian Art,51236,1924,1924,1924
Greek and Roman Art,251839,1925,1925,1925
Ancient Near Eastern Art,325309,1961,1961,1961
"Arts of Africa, Oceania, and the Americas",320606,2011,2011,2011
Drawings and Prints,388429,2009,2009,2009
Ancient Near Eastern Art,324462,1955,1955,1955
Greek and Roman Art,240641,1874,1874,1874
Photographs,748775,2017,2017,2017
Drawings and Prints,370710,1953,1953,1953
Drawings and Prints,403861,1963,1963,1963
Photographs,262948,1981,1981,1981
Drawings and Prints,359983,1963,1963,1963
Drawings and Prints,426990,1963,1963,1963
The Cloisters,470685,1925,1925,1925
Costume Institute,121510,1945,1945,1945
Drawings and Prints,782218,1963,1963,1963
Photographs,714692,2018,2018,2018
Drawings and Prints,367762,1917,1917,1917
Islamic Art,449301,1938,1938,1938
Drawings and Prints,418679,1947,1947,1947
Greek and Roman Art,252545,1926,1926,1926
Drawings and Prints,823109,1948,1948,1948
Drawings and Prints,434793,1953,1953,1953
Egyptian Art,548572,1930,1930,1930
Drawings and Prints,820079,1942,1942,1942
Drawings and Prints,813672,1963,1963,1963
Photographs,285443,2004,2004,2004
European Sculpture and Decorative Arts,156402,2009,2009,2009
Drawings and Prints,360926,1920,1920,1920
Greek and Roman Art,247411,1906,1906,1906
Drawings and Prints,419503,1963,1963,1963
Asian Art,71954,1920,1920,1920
Costume Institute,129739,2006,2006,2006
Egyptian Art,546577,1914,1914,1914
Drawings and Prints,858230,1936,1936,1936
Asian Art,700412,2016,2016,2016
Arms and Armor,29945,1936,1936,1936
Greek and Roman Art,676716,2011,2011,2011
Drawings and Prints,336275,1924,1924,1924
European Sculpture and Decorative Arts,197631,1934,1934,1934
Islamic Art,740989,1948,1948,1948
Drawings and Prints,850501,1963,1963,1963
Drawings and Prints,653766,1952,1952,1952
Asian Art,60817,1920,1920,1920
Costume Institute,122392,1944,1944,1944
Greek and Roman Art,764557,2011,2011,2011
Drawings and Prints,635083,1963,1963,1963
Ancient Near Eastern Art,323698,1938,1938,1938
Photographs,266146,1989,1989,1989
European Sculpture and Decorative Arts,203096,1964,1964,1964
Photographs,277405,1994,1994,1994
Drawings and Prints,770775,1963,1963,1963
Asian Art,54499,1914,1914,1914
European Sculpture and Decorative Arts,197965,1937,1937,1937
Drawings and Prints,426451,1930,1930,1930
"Arts of Africa, Oceania, and the Americas",307462,1882,1882,1882
Greek and Roman Art,683538,2011,2011,2011
Drawings and Prints,388791,1984,1984,1984
Modern and Contemporary Art,480062,1908,1908,1908
Modern and Contemporary Art,488221,1947,1947,1947
Asian Art,50305,1975,1975,1975
Photographs,275440,1994,1994,1994
Photographs,288292,1982,1982,1982
Ancient Near Eastern Art,322004,1886,1886,1886
Asian Art,823687,2019,2019,2019
Drawings and Prints,680179,1918,1918,1918
Drawings and Prints,888591,1981,1981,1981
Costume Institute,158352,2009,2009,2009
Costume Institute,100427,1979,1979,1979
Drawings and Prints,771397,2017,2017,2017
Drawings and Prints,629110,1966,1966,1966
Drawings and Prints,384869,1967,1967,1967
The American Wing,17696,1955,1955,1955
The American Wing,11334,1968,1968,1968
Medieval Art,695299,1928,1928,1928
Drawings and Prints,420461,1917,1917,1917
Photographs,306800,2005,2005,2005
Drawings and Prints,371341,1951,1951,1951
Greek and Roman Art,248598,1911,1911,1911
Drawings and Prints,348103,1963,1963,1963
Greek and Roman Art,245237,1881,1881,1881
Greek and Roman Art,253492,1935,1935,1935
Modern and Contemporary Art,486127,1992,1992,1992
Islamic Art,449112,1937,1937,1937
Modern and Contemporary Art,492863,2002,2002,2002
Asian Art,62626,1893,1893,1893
Drawings and Prints,688217,1963,1963,1963
European Sculpture and Decorative Arts,208214,1995,1995,1995
The American Wing,785206,2018,2018,2018
Drawings and Prints,369296,1958,1958,1958
Photographs,275424,1994,1994,1994
Egyptian Art,577420,1925,1925,1925
Drawings and Prints,421748,1953,1953,1953
Greek and Roman Art,257310,1891,1891,1891
Drawings and Prints,665332,1918,1918,1918
Costume Institute,121531,1947,1947,1947
European Sculpture and Decorative Arts,208565,1996,1996,1996
Arms and Armor,33348,1919,1919,1919
Drawings and Prints,355163,1966,1966,1966
Drawings and Prints,334885,1996,1996,1996
Arms and Armor,27486,1952,1952,1952
Photographs,279710,2021,2021,2021
Drawings and Prints,820051,1963,1963,1963
Costume Institute,110114,1987,1987,1987
Photographs,264248,1984,1984,1984
Drawings and Prints,755661,1963,1963,1963
Drawings and Prints,396178,1953,1953,1953
Drawings and Prints,351034,1978,1978,1978
Greek and Roman Art,713529,2011,2011,2011
Asian Art,44231,1950,1950,1950
Drawings and Prints,337177,1928,1928,1928
Egyptian Art,547375,1910,1910,1910
Drawings and Prints,340881,1954,1954,1954
Asian Art,37894,1975,1975,1975
European Sculpture and Decorative Arts,225343,1936,1936,1936
Arms and Armor,33240,1920,1920,1920
Costume Institute,124269,1975,1975,1975
Egyptian Art,568206,1905,1905,1905
Photographs,284124,2013,2013,2013
Drawings and Prints,341540,1926,1926,1926
European Sculpture and Decorative Arts,211786,1907,1907,1907
Drawings and Prints,406657,1963,1963,1963
"Arts of Africa, Oceania, and the Americas",316494,1991,1991,1991
Photographs,273383,1994,1994,1994
Photographs,262916,1981,1981,1981
Photographs,266394,1991,1991,1991
Drawings and Prints,757747,1953,1953,1953
Egyptian Art,562519,1920,1920,1920
The American Wing,16719,1999,1999,1999
Egyptian Art,564241,1917,1917,1917
Photographs,266890,1993,1993,1993
Drawings and Prints,367662,1972,1972,1972
Asian Art,36091,1964,1964,1964
Costume Institute,84491,1994,1994,1994
Greek and Roman Art,250974,1920,1920,1920
Drawings and Prints,697216,2016,2016,2016
Islamic Art,444574,1891,1891,1891
Egyptian Art,553154,1918,1918,1918
"Arts of Africa, Oceania, and the Americas",311117,1978,1978,1978
Drawings and Prints,696253,1963,1963,1963
Asian Art,59228,1891,1891,1891
Drawings and Prints,784480,1963,1963,1963
Drawings and Prints,380487,1962,1962,1962
Drawings and Prints,356463,1952,1952,1952
The American Wing,3430,1943,1943,1943
Drawings and Prints,414871,1955,1955,1955
Drawings and Prints,402758,1963,1963,1963
Drawings and Prints,644886,1963,1963,1963
Photographs,276156,1994,1994,1994
Drawings and Prints,634258,1963,1963,1963
Asian Art,38301,1987,1987,1987
Islamic Art,741772,1948,1948,1948
Drawings and Prints,427856,1963,1963,1963
European Sculpture and Decorative Arts,214805,1908,1908,1908
Drawings and Prints,893079,1946,1946,1946
Arms and Armor,27417,1914,1914,1914
Drawings and Prints,386841,1938,1938,1938
Asian Art,51230,1893,1893,1893
Drawings and Prints,342904,1949,1949,1949
European Sculpture and Decorative Arts,228692,1957,1957,1957
Egyptian Art,553889,1905,1905,1905
"Arts of Africa, Oceania, and the Americas",314998,1986,1986,1986
Islamic Art,452378,1972,1972,1972
Asian Art,51847,1962,1962,1962
Islamic Art,649794,2014,2014,2014
Greek and Roman Art,244460,1874,1874,1874
Egyptian Art,552156,1922,1922,1922
Asian Art,53756,1946,1946,1946
Asian Art,42513,1984,1984,1984
Drawings and Prints,339028,1941,1941,1941
Drawings and Prints,709484,1917,1917,1917
Islamic Art,446829,1915,1915,1915
Costume Institute,156739,2009,2009,2009
Drawings and Prints,818436,1962,1962,1962
The American Wing,6814,1946,1946,1946
Drawings and Prints,426068,1946,1946,1946
Costume Institute,174569,2009,2009,2009
Islamic Art,443528,1889,1889,1889
Modern and Contemporary Art,485918,1991,1991,1991
European Sculpture and Decorative Arts,202731,1963,1963,1963
Islamic Art,452773,1975,1975,1975
Drawings and Prints,768477,1963,1963,1963
Drawings and Prints,380987,1954,1954,1954
Musical Instruments,505463,nan,nan,nan
Drawings and Prints,351868,1921,1921,1921
Modern and Contemporary Art,497011,1979,1979,1979
"Arts of Africa, Oceania, and the Americas",319576,1978,1978,1978
Drawings and Prints,354392,1953,1953,1953
European Sculpture and Decorative Arts,212504,1888,1888,1888
Musical Instruments,503194,1981,1981,1981
European Sculpture and Decorative Arts,217831,1909,1909,1909
Arms and Armor,26543,1914,1914,1914
Egyptian Art,668882,1931,1931,1931
The American Wing,848033,2020,2020,2020
Asian Art,59591,2002,2002,2002
European Sculpture and Decorative Arts,205849,1974,1974,1974
Drawings and Prints,367683,2005,2005,2005
Photographs,262696,1979,1979,1979
Greek and Roman Art,245206,1881,1881,1881
Costume Institute,89017,1940,1940,1940
Costume Institute,170481,2009,2009,2009
Egyptian Art,570907,1910,1910,1910
Arms and Armor,23390,1932,1932,1932
Arms and Armor,28051,1943,1943,1943
Costume Institute,157884,2009,2009,2009
Drawings and Prints,377662,2005,2005,2005
Drawings and Prints,784849,1963,1963,1963
European Sculpture and Decorative Arts,196164,1927,1927,1927
Drawings and Prints,398655,1971,1971,1971
Egyptian Art,567954,1935,1935,1935
Drawings and Prints,897965,1967,1967,1967
Greek and Roman Art,246653,1896,1896,1896
European Sculpture and Decorative Arts,204570,1965,1965,1965
Modern and Contemporary Art,499516,2012,2012,2012
Photographs,282002,1997,1997,1997
Greek and Roman Art,766053,2011,2011,2011
The American Wing,1544,1910,1910,1910
Drawings and Prints,419559,1917,1917,1917
Asian Art,74405,1938,1938,1938
Drawings and Prints,635893,1963,1963,1963
Musical Instruments,506338,2011,2011,2011
Drawings and Prints,634992,1963,1963,1963
Drawings and Prints,706064,1984,1984,1984
Drawings and Prints,356237,1932,1932,1932
Medieval Art,467105,1930,1930,1930
Drawings and Prints,403120,1941,1941,1941
Asian Art,51389,1913,1913,1913
Modern and Contemporary Art,486113,1992,1992,1992
Drawings and Prints,370458,2005,2005,2005
Drawings and Prints,341300,1971,1971,1971
European Sculpture and Decorative Arts,221538,1924,1924,1924
The American Wing,1141,1969,1969,1969
Drawings and Prints,353361,1945,1945,1945
Islamic Art,443332,1889,1889,1889
Asian Art,44468,1987,1987,1987
Drawings and Prints,771981,2018,2018,2018
Medieval Art,465077,1917,1917,1917
Egyptian Art,560739,1910,1910,1910
Drawings and Prints,714441,1993,1993,1993
Photographs,275045,1994,1994,1994
Greek and Roman Art,329992,2021,2021,2021
Drawings and Prints,729804,1977,1977,1977
Drawings and Prints,762179,1963,1963,1963
Drawings and Prints,403759,1978,1978,1978
Egyptian Art,553679,1926,1926,1926
Drawings and Prints,834542,1934,1934,1934
Drawings and Prints,848926,1883,1883,1883
Drawings and Prints,421447,1963,1963,1963
Musical Instruments,502207,1889,1889,1889
Modern and Contemporary Art,486356,1994,1994,1994
Arms and Armor,26786,1914,1914,1914
Drawings and Prints,656603,1950,1950,1950
Greek and Roman Art,251530,1924,1924,1924
The American Wing,3721,1940,1940,1940
European Sculpture and Decorative Arts,841571,1996,1996,1996
European Sculpture and Decorative Arts,205491,1972,1972,1972
Drawings and Prints,428370,1951,1951,1951
European Sculpture and Decorative Arts,834036,1964,1964,1964
Costume Institute,97124,1973,1973,1973
Drawings and Prints,342893,1920,1920,1920
Egyptian Art,546249,1944,1944,1944
Drawings and Prints,385082,1954,1954,1954
Drawings and Prints,629204,1966,1966,1966
Asian Art,54109,1929,1929,1929
Greek and Roman Art,667502,2011,2011,2011
Drawings and Prints,648857,1962,1962,1962
Drawings and Prints,387057,1967,1967,1967
Drawings and Prints,387859,1951,1951,1951
Costume Institute,846550,2021,2021,2021
Islamic Art,448224,1928,1928,1928
Costume Institute,155789,2009,2009,2009
Asian Art,35980,1913,1913,1913
The American Wing,89967,1941,1941,1941
Drawings and Prints,856322,1951,1951,1951
"Arts of Africa, Oceania, and the Americas",320642,1991,1991,1991
Asian Art,49122,1913,1913,1913
Robert Lehman Collection,461108,1975,1975,1975
Drawings and Prints,738805,1959,1959,1959
Drawings and Prints,832293,1951,1951,1951
Egyptian Art,570852,1902,1902,1902
Costume Institute,100042,1952,1952,1952
Costume Institute,110183,1979,1979,1979
Arms and Armor,23671,1932,1932,1932
Costume Institute,159116,2009,2009,2009
Drawings and Prints,648074,1962,1962,1962
European Sculpture and Decorative Arts,219057,1911,1911,1911
Greek and Roman Art,257040,1891,1891,1891
Costume Institute,145041,2017,2017,2017
Drawings and Prints,695465,1963,1963,1963
"Arts of Africa, Oceania, and the Americas",315158,1987,1987,1987
Drawings and Prints,414581,1963,1963,1963
Drawings and Prints,815592,1963,1963,1963
Islamic Art,448130,1927,1927,1927
The American Wing,14058,1939,1939,1939
Drawings and Prints,684446,1963,1963,1963
Drawings and Prints,634852,1963,1963,1963
Photographs,289542,2008,2008,2008
Drawings and Prints,423399,1935,1935,1935
Drawings and Prints,632829,1922,1922,1922
European Sculpture and Decorative Arts,221878,1926,1926,1926
Greek and Roman Art,713892,2011,2011,2011
Drawings and Prints,782167,1963,1963,1963
Costume Institute,131331,2006,2006,2006
Photographs,266267,1990,1990,1990
Photographs,701804,2005,2005,2005
Greek and Roman Art,330016,2021,2021,2021
Ancient Near Eastern Art,325051,1960,1960,1960
European Sculpture and Decorative Arts,193347,1917,1917,1917
Drawings and Prints,341195,1907,1907,1907
Drawings and Prints,403997,1941,1941,1941
Drawings and Prints,399326,2012,2012,2012
Drawings and Prints,422801,1928,1928,1928
Drawings and Prints,654923,1958,1958,1958
Islamic Art,742114,1948,1948,1948
Asian Art,40253,2015,2015,2015
The American Wing,9684,1920,1920,1920
Drawings and Prints,711707,1946,1946,1946
Drawings and Prints,416007,1963,1963,1963
Photographs,282705,1998,1998,1998
Drawings and Prints,433367,1962,1962,1962
Photographs,282943,1994,1994,1994
Drawings and Prints,782191,1963,1963,1963
Greek and Roman Art,703512,2011,2011,2011
European Sculpture and Decorative Arts,188989,1906,1906,1906
Asian Art,40840,1924,1924,1924
Drawings and Prints,811338,1917,1917,1917
Islamic Art,448257,1929,1929,1929
Drawings and Prints,415801,1951,1951,1951
Drawings and Prints,420484,1917,1917,1917
Asian Art,59781,1910,1910,1910
Greek and Roman Art,703883,2011,2011,2011
Photographs,273578,1994,1994,1994
The Libraries,752566,nan,nan,nan
The American Wing,9001,1913,1913,1913
Asian Art,40174,2015,2015,2015
Costume Institute,124496,1943,1943,1943
Drawings and Prints,679675,1954,1954,1954
Drawings and Prints,359265,1976,1976,1976
Drawings and Prints,726898,1963,1963,1963
Greek and Roman Art,733355,2011,2011,2011
Greek and Roman Art,645157,2014,2014,2014
Greek and Roman Art,733659,2011,2011,2011
Drawings and Prints,342674,1917,1917,1917
Arms and Armor,25114,2001,2001,2001
Greek and Roman Art,247686,1907,1907,1907
Asian Art,62838,1893,1893,1893
Drawings and Prints,646936,1963,1963,1963
Islamic Art,453358,1995,1995,1995
Greek and Roman Art,250028,1917,1917,1917
Costume Institute,116607,1945,1945,1945
Islamic Art,453157,1981,1981,1981
Costume Institute,104519,1942,1942,1942
Ancient Near Eastern Art,324734,1958,1958,1958
Musical Instruments,505309,1953,1953,1953
Drawings and Prints,362973,1983,1983,1983
European Sculpture and Decorative Arts,186676,1884,1884,1884
Modern and Contemporary Art,496442,1979,1979,1979
Ancient Near Eastern Art,324772,1958,1958,1958
Egyptian Art,573883,nan,nan,nan
Costume Institute,124303,1951,1951,1951
Drawings and Prints,392059,1967,1967,1967
Greek and Roman Art,243109,1874,1874,1874
Egyptian Art,570927,1959,1959,1959
Greek and Roman Art,250121,1917,1917,1917
Egyptian Art,569064,1922,1922,1922
