Source,Target,Start,start,end
Asian Art,71949,1920,1920,1920
Islamic Art,85525,1940,1940,1940
Drawings and Prints,645326,1963,1963,1963
Drawings and Prints,383358,1883,1883,1883
European Sculpture and Decorative Arts,215367,1908,1908,1908
Costume Institute,141578,2008,2008,2008
Costume Institute,108204,1978,1978,1978
Drawings and Prints,900027,1924,1924,1924
Islamic Art,453172,1982,1982,1982
Asian Art,55128,1959,1959,1959
Drawings and Prints,403609,1963,1963,1963
Asian Art,38351,1967,1967,1967
The Libraries,889915,nan,nan,nan
Greek and Roman Art,766090,2011,2011,2011
Islamic Art,443774,1890,1890,1890
Drawings and Prints,335091,1970,1970,1970
The American Wing,13161,1915,1915,1915
Drawings and Prints,745519,1959,1959,1959
Egyptian Art,546982,1916,1916,1916
European Sculpture and Decorative Arts,197517,1934,1934,1934
Drawings and Prints,627952,1941,1941,1941
Asian Art,46693,1893,1893,1893
European Sculpture and Decorative Arts,225379,1936,1936,1936
Drawings and Prints,395985,1995,1995,1995
Drawings and Prints,398392,1917,1917,1917
Drawings and Prints,353805,1964,1964,1964
Photographs,686067,1970,1970,1970
Drawings and Prints,375111,1943,1943,1943
Drawings and Prints,357521,1954,1954,1954
Ancient Near Eastern Art,323340,1936,1936,1936
Greek and Roman Art,713747,2011,2011,2011
Asian Art,68123,1909,1909,1909
The American Wing,4455,1930,1930,1930
Costume Institute,105172,1977,1977,1977
Drawings and Prints,645071,1963,1963,1963
Asian Art,48842,1950,1950,1950
European Sculpture and Decorative Arts,190625,1908,1908,1908
Asian Art,74247,2018,2018,2018
Drawings and Prints,433090,1949,1949,1949
European Sculpture and Decorative Arts,227333,1948,1948,1948
European Sculpture and Decorative Arts,226453,1939,1939,1939
European Sculpture and Decorative Arts,216463,1909,1909,1909
Drawings and Prints,369004,1953,1953,1953
Greek and Roman Art,721612,2011,2011,2011
Drawings and Prints,701699,1962,1962,1962
Egyptian Art,554711,1910,1910,1910
Egyptian Art,549204,1985,1985,1985
Drawings and Prints,780384,1963,1963,1963
Drawings and Prints,813199,1959,1959,1959
The American Wing,13758,1997,1997,1997
Asian Art,63717,1941,1941,1941
European Sculpture and Decorative Arts,226154,1937,1937,1937
Drawings and Prints,379243,1923,1923,1923
Egyptian Art,570776,1926,1926,1926
Drawings and Prints,380895,1954,1954,1954
Costume Institute,83554,1954,1954,1954
The American Wing,12325,1950,1950,1950
"Arts of Africa, Oceania, and the Americas",317202,1994,1994,1994
Drawings and Prints,622977,1918,1918,1918
Costume Institute,675705,2015,2015,2015
Egyptian Art,548592,1930,1930,1930
Greek and Roman Art,250989,1920,1920,1920
Greek and Roman Art,250488,1917,1917,1917
Drawings and Prints,710446,1917,1917,1917
Drawings and Prints,378708,1923,1923,1923
Drawings and Prints,349075,1962,1962,1962
The American Wing,19340,1967,1967,1967
Asian Art,748318,2019,2019,2019
Modern and Contemporary Art,484944,1987,1987,1987
Greek and Roman Art,745285,2011,2011,2011
Photographs,270119,1959,1959,1959
Drawings and Prints,363474,2003,2003,2003
European Sculpture and Decorative Arts,221883,1926,1926,1926
Drawings and Prints,353491,1961,1961,1961
Drawings and Prints,703105,1979,1979,1979
Drawings and Prints,373746,1941,1941,1941
The American Wing,11862,1907,1907,1907
Drawings and Prints,891338,1962,1962,1962
Drawings and Prints,425922,1946,1946,1946
Greek and Roman Art,671295,2011,2011,2011
Drawings and Prints,745773,1924,1924,1924
Greek and Roman Art,709706,2011,2011,2011
Drawings and Prints,849849,1963,1963,1963
Drawings and Prints,629205,1949,1949,1949
Greek and Roman Art,245379,1881,1881,1881
Drawings and Prints,377807,1921,1921,1921
Asian Art,53885,2001,2001,2001
European Sculpture and Decorative Arts,206160,1974,1974,1974
Drawings and Prints,720805,1981,1981,1981
Asian Art,49777,1995,1995,1995
Egyptian Art,570163,1922,1922,1922
Drawings and Prints,362686,1963,1963,1963
Greek and Roman Art,253719,1941,1941,1941
Asian Art,71020,1920,1920,1920
Drawings and Prints,660407,1963,1963,1963
Photographs,299327,2011,2011,2011
Drawings and Prints,384661,1949,1949,1949
Greek and Roman Art,756201,2011,2011,2011
Greek and Roman Art,256713,nan,nan,nan
Egyptian Art,560095,1930,1930,1930
Egyptian Art,545492,1919,1919,1919
Drawings and Prints,348241,1967,1967,1967
Drawings and Prints,422580,1957,1957,1957
Greek and Roman Art,776258,2011,2011,2011
Drawings and Prints,374705,1934,1934,1934
Drawings and Prints,404600,1963,1963,1963
Drawings and Prints,848829,1981,1981,1981
Drawings and Prints,416542,1963,1963,1963
Greek and Roman Art,240735,1874,1874,1874
Drawings and Prints,339643,1989,1989,1989
Costume Institute,104649,1978,1978,1978
Islamic Art,445158,1907,1907,1907
Drawings and Prints,829478,1883,1883,1883
Costume Institute,83331,1965,1965,1965
The American Wing,4543,1883,1883,1883
Costume Institute,116418,1986,1986,1986
Modern and Contemporary Art,493769,nan,nan,nan
Drawings and Prints,686603,1963,1963,1963
Drawings and Prints,857914,2019,2019,2019
Drawings and Prints,644686,1965,1965,1965
Drawings and Prints,755712,1963,1963,1963
Greek and Roman Art,244875,1881,1881,1881
Asian Art,53783,1919,1919,1919
Photographs,276492,1994,1994,1994
Photographs,288486,1999,1999,1999
Drawings and Prints,727075,1969,1969,1969
Greek and Roman Art,766082,2011,2011,2011
Greek and Roman Art,678353,2011,2011,2011
