Source,Target
The Cloisters Collection,The Cloisters
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
Harris Brisbane Dick Fund,Drawings and Prints
Karen B. Cohen Fund,Drawings and Prints
Rogers Fund,European Sculpture and Decorative Arts
"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum",Costume Institute
Gift of Lillian E. Glenn Peirce,Costume Institute
"Purchase, Ella Morris de Peyster Bequest",European Sculpture and Decorative Arts
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",Greek and Roman Art
Harris Brisbane Dick Fund,Drawings and Prints
"Bequest of Jane Costello Goldberg, from the Collection of Arnold I. Goldberg","Arts of Africa, Oceania, and the Americas"
Gift of Gustavus A. Pfeiffer,European Sculpture and Decorative Arts
Purchase,Ancient Near Eastern Art
Gift of Anne H. Bass,Costume Institute
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
Gift of Reba and Dave Williams,Modern and Contemporary Art
The Crosby Brown Collection of Musical Instruments,Musical Instruments
Gift of Mrs. Minnie Churchill,Costume Institute
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
Anonymous Gift,Islamic Art
Gift of Mr. and Mrs. Eugene V. Thaw,Asian Art
"Purchase, Leslie and Johanna Garfield Gift, Lila Acheson Wallace, Charles and Jessie Price, and David T Schiff Gifts, The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, Dolores Valvidia Hurlburt Bequest, Peco Foundation and Friends of Drawings and Prints Gifts, and funds from various donors",Drawings and Prints
"Gift of Helena Bienstock, Cynthia MacKay Keegan and Frank E. Johnson",Drawings and Prints
Harris Brisbane Dick Fund,Drawings and Prints
Gift of Bella C. Landauer,Drawings and Prints
Gift of Edwin De T. Bechtel,Drawings and Prints
Gift of Stewart Huston,Drawings and Prints
David Hunter McAlpin Fund,Photographs
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
Rogers Fund,Ancient Near Eastern Art
"Gift of R. Thornton Wilson, in memory of Florence Ellsworth Wilson",European Sculpture and Decorative Arts
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
Seymour Fund,Asian Art
Bequest of Grace M. Pugh,Drawings and Prints
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
Gift of Helen Miller Gould,Egyptian Art
"Museum Accession, transferred from the Library",Drawings and Prints
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
"Gift of George R. Goldner, in honor of Stewart Goldner",Drawings and Prints
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
Gift of William Brewster,Drawings and Prints
"Purchase, The James Parker Charitable Foundation and Friends of European Sculpture and Decorative Arts Gifts, and funds from various donors",European Sculpture and Decorative Arts
Gift of Mrs. Werner Abegg,Costume Institute
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
"Gift of Robert Hatfield Ellsworth, in memory of La Ferne Hatfield Ellsworth",Asian Art
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",Greek and Roman Art
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
"Ford Motor Company Collection, Gift of Ford Motor Company and John C. Waddell",Photographs
Rogers Fund,Greek and Roman Art
Gift of Mrs. Alan W. Carrick,The American Wing
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
