Id,start,end,type,departement
281884,1994,1994,Object,Photographs
325712,1965,1965,Object,Ancient Near Eastern Art
372624,1917,1917,Object,Drawings and Prints
370578,1991,1991,Object,Drawings and Prints
248058,1908,1908,Object,Greek and Roman Art
50155,1998,1998,Object,Asian Art
569578,1930,1930,Object,Egyptian Art
240386,1874,1874,Object,Greek and Roman Art
22488,1914,1914,Object,Arms and Armor
401300,1951,1951,Object,Drawings and Prints
889092,1963,1963,Object,Drawings and Prints
175894,2009,2009,Object,Costume Institute
3068,1970,1970,Object,The American Wing
752809,2011,2011,Object,Greek and Roman Art
897045,1883,1883,Object,Drawings and Prints
825976,2019,2019,Object,European Sculpture and Decorative Arts
628834,1948,1948,Object,Drawings and Prints
625773,1930,1930,Object,Egyptian Art
334183,1958,1958,Object,Drawings and Prints
337148,1951,1951,Object,Drawings and Prints
218651,1910,1910,Object,European Sculpture and Decorative Arts
209237,1907,1907,Object,European Sculpture and Decorative Arts
457287,1939,1939,Object,Islamic Art
776863,2011,2011,Object,Drawings and Prints
336356,1960,1960,Object,Drawings and Prints
350680,1960,1960,Object,Drawings and Prints
13146,1898,1898,Object,The American Wing
415809,1951,1951,Object,Drawings and Prints
344771,1949,1949,Object,Drawings and Prints
361119,1920,1920,Object,Drawings and Prints
358351,1941,1941,Object,Drawings and Prints
377597,2007,2007,Object,Drawings and Prints
281761,2018,2018,Object,Photographs
247476,1906,1906,Object,Greek and Roman Art
776619,2011,2011,Object,Drawings and Prints
823862,1959,1959,Object,Drawings and Prints
4459,1947,1947,Object,The American Wing
384919,1922,1922,Object,Drawings and Prints
435348,1920,1920,Object,Drawings and Prints
729139,2011,2011,Object,Greek and Roman Art
732469,1951,1951,Object,Drawings and Prints
86584,1945,1945,Object,Costume Institute
260063,1972,1972,Object,Photographs
249028,1915,1915,Object,Greek and Roman Art
392997,1954,1954,Object,Drawings and Prints
358799,1968,1968,Object,Drawings and Prints
368565,2005,2005,Object,Drawings and Prints
708508,1917,1917,Object,Drawings and Prints
337652,1983,1983,Object,Drawings and Prints
159094,2009,2009,Object,Costume Institute
120529,1983,1983,Object,Costume Institute
410278,1948,1948,Object,Drawings and Prints
71728,1920,1920,Object,Asian Art
733385,2011,2011,Object,Greek and Roman Art
10251,1967,1967,Object,The American Wing
452229,1971,1971,Object,Islamic Art
265250,1987,1987,Object,Photographs
59837,1891,1891,Object,Asian Art
242437,1874,1874,Object,Greek and Roman Art
168748,2009,2009,Object,Costume Institute
437515,1911,1911,Object,European Paintings
888578,1981,1981,Object,Drawings and Prints
646142,1936,1936,Object,Drawings and Prints
658937,1929,1929,Object,Arms and Armor
336686,1980,1980,Object,Drawings and Prints
825596,2022,2022,Object,Islamic Art
571228,1926,1926,Object,Egyptian Art
157155,2009,2009,Object,Costume Institute
28023,1943,1943,Object,Arms and Armor
429666,1926,1926,Object,Drawings and Prints
478178,2007,2007,Object,Medieval Art
681277,1922,1922,Object,Drawings and Prints
640287,1963,1963,Object,Drawings and Prints
415503,1962,1962,Object,Drawings and Prints
66420,1896,1896,Object,Asian Art
779456,1963,1963,Object,Drawings and Prints
762628,1951,1951,Object,Drawings and Prints
391760,1942,1942,Object,Drawings and Prints
370162,2005,2005,Object,Drawings and Prints
275467,1994,1994,Object,Photographs
368507,1949,1949,Object,Drawings and Prints
461644,1975,1975,Object,Robert Lehman Collection
302705,2013,2013,Object,Photographs
549276,1926,1926,Object,Egyptian Art
131415,2006,2006,Object,Costume Institute
367055,1922,1922,Object,Drawings and Prints
408504,1941,1941,Object,Drawings and Prints
44981,1939,1939,Object,Asian Art
336338,1961,1961,Object,Drawings and Prints
12877,1923,1923,Object,The American Wing
208549,1996,1996,Object,European Sculpture and Decorative Arts
465342,1917,1917,Object,Medieval Art
197461,1933,1933,Object,European Sculpture and Decorative Arts
264484,1985,1985,Object,Photographs
391644,1962,1962,Object,Drawings and Prints
774306,1963,1963,Object,Drawings and Prints
717472,1946,1946,Object,Drawings and Prints
719938,1981,1981,Object,Drawings and Prints
444743,1891,1891,Object,Islamic Art
713604,2011,2011,Object,Greek and Roman Art
708923,1917,1917,Object,Drawings and Prints
214323,1908,1908,Object,European Sculpture and Decorative Arts
43251,1950,1950,Object,Asian Art
725427,1963,1963,Object,Drawings and Prints
739780,2016,2016,Object,Drawings and Prints
356047,1937,1937,Object,Drawings and Prints
569886,1910,1910,Object,Egyptian Art
662583,1921,1921,Object,Drawings and Prints
267956,1933,1933,Object,Photographs
401621,1963,1963,Object,Drawings and Prints
720574,2017,2017,Object,"Arts of Africa, Oceania, and the Americas"
659546,1918,1918,Object,Drawings and Prints
349057,1981,1981,Object,Drawings and Prints
657235,1963,1963,Object,Drawings and Prints
716675,1959,1959,Object,Drawings and Prints
208466,1995,1995,Object,European Sculpture and Decorative Arts
372279,1955,1955,Object,Drawings and Prints
325381,1962,1962,Object,Ancient Near Eastern Art
353480,1960,1960,Object,Drawings and Prints
364778,1962,1962,Object,Drawings and Prints
71949,1920,1920,Object,Asian Art
85525,1940,1940,Object,Islamic Art
645326,1963,1963,Object,Drawings and Prints
383358,1883,1883,Object,Drawings and Prints
215367,1908,1908,Object,European Sculpture and Decorative Arts
141578,2008,2008,Object,Costume Institute
108204,1978,1978,Object,Costume Institute
900027,1924,1924,Object,Drawings and Prints
453172,1982,1982,Object,Islamic Art
55128,1959,1959,Object,Asian Art
403609,1963,1963,Object,Drawings and Prints
38351,1967,1967,Object,Asian Art
766090,2011,2011,Object,Greek and Roman Art
443774,1890,1890,Object,Islamic Art
335091,1970,1970,Object,Drawings and Prints
13161,1915,1915,Object,The American Wing
