Source,Target
Gift of Paulette Winston Zerner,68965
68965,1964
Gift of Helen J. Baker,408830
408830,1937
Rogers Fund,198415
198415,1948
Gift of Paul H. Downing,473662
473662,1975
Alfred Z. Solomon-Janet A. Sloane Endowment Fund,435807
435807,2017
"A. Hyatt Mayor Purchase Fund, Marjorie Phelps Starr Bequest",262629
262629,1981
"Gift of the artist and his daughter, Regina ValdÃ©s",327383
327383,1991
Harris Brisbane Dick Fund,464087
464087,1953
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",438718
438718,2011
Purchase,98102
98102,1884
"Purchase, Paul Singer Gift and Rogers Fund",38774
38774,1991
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",407873
407873,2011
The Crosby Brown Collection of Musical Instruments,339194
339194,1889
Funds from various donors,150690
150690,1924
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",439928
439928,2011
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",461058
461058,1959
Gift of Mrs. Edwin De T. Bechtel,276713
276713,1961
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",392114
392114,2011
Gift of Dr. Joseph I. Singer,210953
210953,1979
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",286613
286613,1959
Gift of Frederick W. Hunter,7033
7033,1913
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",430372
430372,2011
Rogers Fund,361632
361632,1911
Harris Brisbane Dick Fund,234985
234985,1922
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund and Harris Brisbane Dick Fund, by Exchange",475075
475075,1970
Rogers Fund,350183
350183,1927
Gift of Irene Averbrook Weissman,66576
66576,1995
The Gothelf Family in Loving Memory of Kenneth W. Juster,477029
"Gift of Martin Birnbaum, in memory of Mrs. Leonard Weber",460848
460848,1920
Gift of Jean Charlot,415034
415034,1929
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",442593
442593,2011
"The Michael C. Rockefeller Memorial Collection, Purchase, Mrs. Gertrud A. Mellon Gift, and Mr. and Mrs. Alan Brandt Gift, in memory of Jacob J. Brandt",188982
188982,1974
"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum; Gift of Mrs. Stanley Mortimer",94063
94063,2009
Gift of Alexander GÃ¶tz,33504
33504,1995
"Purchase, Rogers Fund, Isabel Shults Fund and Irene Lewisohn Bequest",68068
68068,1991
Harris Brisbane Dick Fund,227795
227795,1941
Gift of Richard Martin,66824
66824,1994
Harris Brisbane Dick Fund,239565
239565,1926
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",404741
Alfred Stieglitz Collection,163702
163702,1933
Gift of Gary Davis,182764
182764,2009
"The Cesnola Collection, Purchased by subscriptionâ?6",143985
Walker Evans Archive,174033
174033,1994
"The Friedsam Collection, Bequest of Michael Friedsam",303544
303544,1931
Gift of  Dana Broccoli,205303
205303,1978
Rogers Fund,255871
255871,1918
Walker Evans Archive,168581
168581,1994
Harris Brisbane Dick Fund,227794
227794,1941
The Cloisters Collection,319020
319020,1955
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",289737
Harris Brisbane Dick Fund,238828
238828,1917
Karen B. Cohen Fund,261810
261810,2010
Rogers Fund,125524
125524,1909
"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum; Gift of Lillian E. Glenn Peirce",91832
91832,2009
"Purchase, Ella Morris de Peyster Bequest",118535
118535,1959
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",430322
430322,2011
Harris Brisbane Dick Fund,283053
283053,1930
"Bequest of Jane Costello Goldberg, from the Collection of Arnold I. Goldberg",191995
191995,1986
Gift of Gustavus A. Pfeiffer,112023
112023,1953
Purchase,196411
196411,1886
Gift of Anne H. Bass,69027
69027,1989
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",383274
Gift of Reba and Dave Williams,332117
332117,1999
The Crosby Brown Collection of Musical Instruments,338266
338266,1889
Gift of Friends of the Thomas J. Watson Library,480144
Gift of Mrs. Minnie Churchill,73650
73650,2003
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",466133
Anonymous Gift,305836
305836,1949
Gift of Mr. and Mrs. Eugene V. Thaw,56149
56149,2002
"Purchase, Leslie and Johanna Garfield Gift, Lila Acheson Wallace, Charles and Jessie Price, and David T Schiff Gifts, The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, Dolores Valvidia Hurlburt Bequest, Peco Foundation and Friends of Drawings and Prints Gifts, and funds from various donors",472798
472798,2019
"Gift of Helena Bienstock, Cynthia MacKay Keegan and Frank E. Johnson",260807
260807,2010
Harris Brisbane Dick Fund,259328
259328,1928
Gift of Bella C. Landauer,465269
465269,1926
Gift of Edwin De T. Bechtel,442341
442341,1953
Gift of Stewart Huston,475022
475022,1958
David Hunter McAlpin Fund,394251
394251,1968
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",402469
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",244132
244132,2007
Rogers Fund,197258
197258,1930
"Gift of R. Thornton Wilson, in memory of Florence Ellsworth Wilson",111204
111204,1950
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",276586
Seymour Fund,63675
63675,2007
Bequest of Grace M. Pugh,264257
264257,1985
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",222138
222138,1968
Gift of Helen Miller Gould,348458
348458,1910
"Museum Accession, transferred from the Library",243003
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",286570
"Gift of George R. Goldner, in honor of Stewart Goldner",454448
454448,2016
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",211607
211607,1949
Gift of William Brewster,246675
246675,1923
"Purchase, The James Parker Charitable Foundation and Friends of European Sculpture and Decorative Arts Gifts, and funds from various donors",407673
407673,2015
Gift of Mrs. Werner Abegg,81743
81743,1968
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",252870
252870,1966
"Gift of Robert Hatfield Ellsworth, in memory of La Ferne Hatfield Ellsworth",42672
42672,1986
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",428286
428286,2011
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",409688
"Ford Motor Company Collection, Gift of Ford Motor Company and John C. Waddell",161571
161571,1987
Rogers Fund,146753
146753,1906
Gift of Mrs. Alan W. Carrick,6849
6849,1967
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",383601
Gift of William and Toni Conte,319961
319961,2002
Rogers Fund,358094
358094,1917
Gift of Lynn Gumpert,87649
87649,2007
Gift of Charles Allen Munn,287754
287754,1924
Gift of Anne H. Bass,68656
68656,2001
Walker Evans Archive,173498
173498,1994
"Mary Griggs Burke Collection, Gift of the Mary and Jackson Burke Foundation",45908
45908,2015
Fletcher Fund,152044
152044,1928
Rogers Fund,133612
133612,1940
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",459461
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",225715
225715,1962
Gift of Mr. and Mrs. H. O. Havemeyer,57422
57422,1896
Gift of The Colophon,484533
484533,1935
Harris Brisbane Dick Fund,398729
398729,1923
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",460867
460867,1959
Gift of the Estate of Harry John Kratzer,117494
117494,1988
Gift of George A. Hearn,10264
10264,1906
Walker Evans Archive,173274
173274,1994
Gift of Kimberly Knitwear Inc.,74768
74768,1974
John Stewart Kennedy Fund,44252
44252,1913
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",210177
